timestamp, latitude, longitude, heading
1731178749828777187, 40.237998, -111.73904999999999, 100.45613098144531
1731178749828964761, 40.237998, -111.73904999999999, 100.45613098144531
1731178750076739832, 40.237997899999996, -111.73905029999999, 100.45613098144531
1731178750080947049, 40.237997899999996, -111.73905029999999, 100.45613098144531
1731178750327795413, 40.2379976, -111.7390508, 177.13809204101562
1731178750575465762, 40.237997, -111.73905169999999, 208.0951690673828
1731178750825860934, 40.237996599999995, -111.73905309999999, 232.02627563476562
1731178751084938002, 40.237996599999995, -111.7390547, 248.4693145751953
1731178751329479082, 40.2379967, -111.73905579999999, 253.6416778564453
1731178751581444499, 40.2379968, -111.7390564, 259.3642272949219
1731178751827523046, 40.237997, -111.7390569, 274.108642578125
1731178752079546853, 40.237997199999995, -111.73905719999999, 274.108642578125
1731178752325941086, 40.237997299999996, -111.7390575, 274.108642578125
1731178752578553190, 40.2379975, -111.7390578, 274.108642578125
1731178752829998958, 40.237997799999995, -111.7390581, 274.108642578125
1731178753081734874, 40.2379981, -111.7390583, 274.108642578125
1731178753333049956, 40.2379982, -111.7390585, 274.108642578125
1731178753584477835, 40.2379983, -111.73905859999999, 274.108642578125
1731178753825952072, 40.2379983, -111.7390587, 274.108642578125
1731178753827040297, 40.2379983, -111.7390587, 274.108642578125
1731178754078454065, 40.2379983, -111.7390587, 274.108642578125
1731178754325510541, 40.2379983, -111.7390587, 274.108642578125
1731178754582213713, 40.2379982, -111.7390587, 274.108642578125
1731178754833609110, 40.2379981, -111.7390588, 274.108642578125
1731178755074062900, 40.237998, -111.7390588, 274.108642578125
1731178755327111283, 40.237997899999996, -111.73905889999999, 274.108642578125
1731178755578500384, 40.237997799999995, -111.73905889999999, 274.108642578125
1731178755824114059, 40.2379977, -111.73905909999999, 274.108642578125
1731178756076741201, 40.2379976, -111.7390592, 274.108642578125
1731178756326961983, 40.2379975, -111.7390593, 274.108642578125
1731178756578860678, 40.237997299999996, -111.7390593, 274.108642578125
1731178756579747088, 40.237997299999996, -111.7390593, 274.108642578125
1731178756830669946, 40.237997199999995, -111.73905939999999, 274.108642578125
1731178757083298958, 40.237997, -111.73905939999999, 274.108642578125
1731178757324309490, 40.2379968, -111.73905939999999, 274.108642578125
1731178757576822316, 40.237996599999995, -111.73905939999999, 274.108642578125
1731178757822626937, 40.2379964, -111.73905939999999, 274.108642578125
1731178758080276779, 40.2379961, -111.73905939999999, 274.108642578125
1731178758331378934, 40.2379959, -111.7390595, 274.108642578125
1731178758583260388, 40.2379956, -111.73905959999999, 274.108642578125
1731178758829863918, 40.237995399999996, -111.73905959999999, 274.108642578125
1731178759076887505, 40.2379952, -111.73905959999999, 274.108642578125
1731178759328178365, 40.237995, -111.73905959999999, 274.108642578125
1731178759579869467, 40.2379947, -111.7390597, 274.108642578125
1731178759580750969, 40.2379947, -111.7390597, 274.108642578125
1731178759831951495, 40.2379945, -111.7390597, 274.108642578125
1731178760083820560, 40.237994199999996, -111.73905979999999, 274.108642578125
1731178760330232572, 40.237994, -111.73905979999999, 274.108642578125
1731178760576353286, 40.2379937, -111.7390597, 274.108642578125
1731178760828237332, 40.237993499999995, -111.7390597, 274.108642578125
1731178761080248731, 40.2379932, -111.73905979999999, 274.108642578125
1731178761326483038, 40.237992999999996, -111.7390599, 274.108642578125
1731178761578387418, 40.2379928, -111.7390599, 274.108642578125
1731178761829452666, 40.2379926, -111.7390599, 274.108642578125
1731178762081424453, 40.237992399999996, -111.73906, 274.108642578125
1731178762328374559, 40.2379921, -111.73906009999999, 274.108642578125
1731178762580430236, 40.2379919, -111.7390602, 274.108642578125
1731178762826830191, 40.237991799999996, -111.7390602, 274.108642578125
1731178763078796331, 40.2379916, -111.73906029999999, 274.108642578125
1731178763078951757, 40.2379916, -111.73906029999999, 274.108642578125
1731178763329973246, 40.2379914, -111.7390604, 274.108642578125
1731178763582067478, 40.237991199999996, -111.7390605, 274.108642578125
1731178763828590027, 40.237991, -111.7390606, 274.108642578125
1731178764080603999, 40.2379909, -111.7390607, 274.108642578125
1731178764326976122, 40.2379907, -111.73906079999999, 274.108642578125
1731178764579007576, 40.237990599999996, -111.73906079999999, 274.108642578125
1731178764835085098, 40.237990499999995, -111.7390609, 274.108642578125
1731178765082774447, 40.2379904, -111.73906099999999, 274.108642578125
1731178765339634934, 40.2379903, -111.7390611, 274.108642578125
1731178765575712395, 40.2379902, -111.7390611, 274.108642578125
1731178765827002699, 40.2379901, -111.7390612, 274.108642578125
1731178766078760227, 40.237989999999996, -111.73906129999999, 274.108642578125
1731178766330669459, 40.237989899999995, -111.7390614, 274.108642578125
1731178766583292674, 40.2379898, -111.7390614, 274.108642578125
1731178766833245529, 40.2379897, -111.7390614, 274.108642578125
1731178767079772282, 40.2379896, -111.73906149999999, 274.108642578125
1731178767326609331, 40.2379895, -111.73906149999999, 274.108642578125
1731178767327194259, 40.2379895, -111.73906149999999, 274.108642578125
1731178767579052472, 40.2379894, -111.7390616, 274.108642578125
1731178767825284242, 40.237989299999995, -111.7390617, 274.108642578125
1731178768083772197, 40.237989299999995, -111.7390619, 274.108642578125
1731178768335502929, 40.2379892, -111.73906199999999, 274.108642578125
1731178768581061641, 40.237989299999995, -111.7390618, 274.108642578125
1731178768827375078, 40.2379898, -111.7390609, 11.656299591064453
1731178769079182087, 40.2379908, -111.73906, 28.57994842529297
1731178769331196560, 40.2379921, -111.7390592, 27.85394859313965
1731178769583397089, 40.2379937, -111.7390588, 19.089590072631836
1731178769829206617, 40.2379956, -111.7390588, 9.46735954284668
